model,token,n_window,format,source_tag,n_agents,majority_pct,num_simulations,correct_rate_percent,convergence_rate_percent,wrong_consensus_rate_percent,no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,01,9,only_token,A100,30,51,50,2.0,2.0,0.0,98.0,7.0
Gemma 27B,01,9,only_token,A100,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,A100,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,A100,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,A100,30,55,50,2.0,2.0,0.0,98.0,5.0
Gemma 27B,01,9,only_token,A100,60,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,A100,90,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,A100,120,55,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,A100,30,60,50,10.0,10.0,0.0,90.0,4.0
Gemma 27B,01,9,only_token,A100,60,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,A100,90,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,A100,120,60,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,A100,30,65,50,32.0,32.0,0.0,68.0,2.625
Gemma 27B,01,9,only_token,A100,60,65,50,6.0,6.0,0.0,94.0,3.3333333333333335
Gemma 27B,01,9,only_token,A100,90,65,50,4.0,4.0,0.0,96.0,3.0
Gemma 27B,01,9,only_token,A100,120,65,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,9,only_token,A100,30,70,50,50.0,50.0,0.0,50.0,2.24
Gemma 27B,01,9,only_token,A100,60,70,50,22.0,22.0,0.0,78.0,3.727272727272727
Gemma 27B,01,9,only_token,A100,90,70,50,14.000000000000002,14.000000000000002,0.0,86.0,3.4285714285714284
Gemma 27B,01,9,only_token,A100,120,70,50,2.0,2.0,0.0,98.0,6.0
Gemma 27B,01,11,com_cot,A100,30,51,50,14.000000000000002,14.000000000000002,0.0,86.0,2.142857142857143
Gemma 27B,01,11,com_cot,A100,60,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,com_cot,A100,90,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,com_cot,A100,120,51,50,0.0,0.0,0.0,100.0,
Gemma 27B,01,11,com_cot,A100,30,55,50,30.0,30.0,0.0,70.0,2.466666666666667
Gemma 27B,01,11,com_cot,A100,60,55,50,4.0,4.0,0.0,96.0,3.0
