model,token,n_window,format,majority_pct,source_tag,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,ab,11,only_token,51,A100,4,200,1.0,1.0,0.0,99.0,3.5
Gemma 27B,ab,11,only_token,55,A100,4,200,3.0,3.0,0.0,97.0,3.1666666666666665
Gemma 27B,ab,11,only_token,60,A100,4,200,8.5,8.5,0.0,91.5,2.785714285714286
Gemma 27B,ab,11,only_token,65,A100,4,200,32.0,32.0,0.0,68.0,2.273209064327485
Gemma 27B,ab,11,only_token,70,A100,4,200,56.5,56.5,0.0,43.5,2.017733134920635
Gemma 27B,kz,7,com_cot,51,A100,4,200,50.0,100.0,50.0,0.0,16.85
Gemma 27B,kz,7,com_cot,55,A100,4,200,50.0,100.0,50.0,0.0,13.83
Gemma 27B,kz,7,com_cot,60,A100,4,200,50.5,100.0,49.5,0.0,9.748846153846154
Gemma 27B,kz,7,com_cot,65,A100,4,200,55.0,100.0,45.0,0.0,5.971981351981352
Gemma 27B,kz,7,com_cot,70,A100,4,200,62.5,100.0,37.5,0.0,4.156095076400679
Gemma 27B,kz,7,only_token,51,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,kz,7,only_token,55,A100,4,200,1.0,1.0,0.0,99.0,2.0
Gemma 27B,kz,7,only_token,60,A100,4,200,2.0,2.0,0.0,98.0,3.166666666666667
Gemma 27B,kz,7,only_token,65,A100,4,200,10.0,10.0,0.0,90.0,2.8555555555555556
Gemma 27B,kz,7,only_token,70,A100,4,200,18.0,18.0,0.0,82.0,2.6787878787878787
Gemma 27B,kz,9,com_cot,51,A100,4,200,2.0,2.0,0.0,98.0,3.75
Gemma 27B,kz,9,com_cot,55,A100,4,200,2.5,2.5,0.0,97.5,2.8
Gemma 27B,kz,9,com_cot,60,A100,4,200,11.500000000000002,11.500000000000002,0.0,88.5,3.0476190476190474
Gemma 27B,kz,9,com_cot,65,A100,4,200,35.5,35.5,0.0,64.5,2.6729532163742693
Gemma 27B,kz,9,com_cot,70,A100,4,200,60.5,60.5,0.0,39.5,2.303109120581581
Gemma 27B,kz,9,only_token,51,A100,4,200,3.5000000000000004,3.5000000000000004,0.0,96.5,3.4285714285714284
Gemma 27B,kz,9,only_token,55,A100,4,200,5.5,5.5,0.0,94.5,3.5416666666666665
Gemma 27B,kz,9,only_token,60,A100,4,200,13.0,13.0,0.0,87.0,3.0876068376068377
Gemma 27B,kz,9,only_token,65,A100,4,200,29.5,29.5,0.0,70.5,2.701812880324544
Gemma 27B,kz,9,only_token,70,A100,4,200,43.5,43.5,0.0,56.5,2.454723465473146
Gemma 27B,kz,11,com_cot,51,A100,4,200,5.0,5.5,0.5,94.5,2.8
Gemma 27B,kz,11,com_cot,55,A100,4,200,11.0,11.0,0.0,89.0,3.437908496732026
Gemma 27B,kz,11,com_cot,60,A100,4,200,24.0,24.0,0.0,76.0,3.0383152173913044
Gemma 27B,kz,11,com_cot,65,A100,4,200,52.5,52.5,0.0,47.5,2.476461038961039
Gemma 27B,kz,11,com_cot,70,A100,4,200,71.5,71.5,0.0,28.5,2.091073589145277
Gemma 27B,kz,11,only_token,51,A100,4,200,2.5,2.5,0.0,97.5,2.4
Gemma 27B,kz,11,only_token,55,A100,4,200,5.0,5.0,0.0,95.0,2.7777777777777777
Gemma 27B,kz,11,only_token,60,A100,4,200,13.5,13.5,0.0,86.5,3.040178571428571
Gemma 27B,kz,11,only_token,65,A100,4,200,34.0,34.0,0.0,66.0,2.373263888888889
Gemma 27B,kz,11,only_token,70,A100,4,200,47.5,47.5,0.0,52.5,2.246153846153846
Gemma 27B,pq,7,com_cot,51,A100,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,pq,7,com_cot,55,A100,4,200,1.0,1.0,0.0,99.0,3.0
Gemma 27B,pq,7,com_cot,60,A100,4,200,3.0,3.0,0.0,97.0,2.5
Gemma 27B,pq,7,com_cot,65,A100,4,200,13.5,13.5,0.0,86.5,2.357142857142857
Gemma 27B,pq,7,com_cot,70,A100,4,200,30.5,30.5,0.0,69.5,1.9817883266159129
Gemma 27B,pq,7,only_token,51,A100,4,200,0.5,0.5,0.0,99.5,3.0
Gemma 27B,pq,7,only_token,55,A100,4,200,1.0,1.0,0.0,99.0,2.0
