model,n_window,format,majority_pct,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,7,com_cot,51,36,1800,17.444444444444443,34.22222222222222,16.77777777777778,65.77777777777777,13.235873015873016
Gemma 27B,7,com_cot,55,36,1800,18.38888888888889,35.111111111111114,16.72222222222222,64.88888888888889,7.982987012987013
Gemma 27B,7,com_cot,60,36,1800,20.77777777777778,37.333333333333336,16.555555555555557,62.666666666666664,5.849778269569936
Gemma 27B,7,com_cot,65,36,1800,30.38888888888889,45.22222222222222,14.833333333333334,54.77777777777778,3.8188326304439166
Gemma 27B,7,com_cot,70,36,1800,41.55555555555556,54.833333333333336,13.277777777777779,45.166666666666664,3.0256013538515916
Gemma 27B,7,only_token,51,36,1800,17.166666666666668,34.111111111111114,16.944444444444443,65.88888888888889,6.081666666666667
Gemma 27B,7,only_token,55,36,1800,17.5,34.166666666666664,16.666666666666668,65.83333333333333,4.787407407407407
Gemma 27B,7,only_token,60,36,1800,19.0,35.666666666666664,16.666666666666668,64.33333333333333,3.597235228539576
Gemma 27B,7,only_token,65,36,1800,25.555555555555557,41.666666666666664,16.11111111111111,58.333333333333336,2.708128102049711
Gemma 27B,7,only_token,70,36,1800,33.27777777777778,48.833333333333336,15.555555555555555,51.166666666666664,2.2904418396215274
Gemma 27B,9,com_cot,51,36,1800,23.166666666666668,44.888888888888886,21.72222222222222,55.111111111111114,16.937619138843278
Gemma 27B,9,com_cot,55,36,1800,24.22222222222222,45.388888888888886,21.166666666666668,54.611111111111114,12.449412393162394
Gemma 27B,9,com_cot,60,36,1800,29.444444444444443,48.94444444444444,19.5,51.05555555555556,7.214827127737879
Gemma 27B,9,com_cot,65,36,1800,45.94444444444444,61.44444444444444,15.5,38.55555555555556,4.312882077101483
Gemma 27B,9,com_cot,70,36,1800,63.0,74.16666666666667,11.166666666666666,25.833333333333332,3.148377485397275
Gemma 27B,9,only_token,51,36,1800,12.61111111111111,23.77777777777778,11.166666666666666,76.22222222222223,4.6618055555555555
Gemma 27B,9,only_token,55,36,1800,13.88888888888889,25.0,11.11111111111111,75.0,3.686015466015466
Gemma 27B,9,only_token,60,36,1800,17.27777777777778,28.38888888888889,11.11111111111111,71.61111111111111,3.199700117889773
Gemma 27B,9,only_token,65,36,1800,28.166666666666668,39.27777777777778,11.11111111111111,60.72222222222222,2.626338301189845
Gemma 27B,9,only_token,70,36,1800,37.5,48.388888888888886,10.88888888888889,51.611111111111114,2.157142137266616
Gemma 27B,11,com_cot,51,36,1800,40.05555555555556,78.66666666666667,38.611111111111114,21.333333333333332,14.582850574712642
Gemma 27B,11,com_cot,55,36,1800,42.166666666666664,80.44444444444444,38.27777777777778,19.555555555555557,10.070124025029475
Gemma 27B,11,com_cot,60,36,1800,46.666666666666664,83.05555555555556,36.388888888888886,16.944444444444443,6.33909999455822
Gemma 27B,11,com_cot,65,36,1800,62.44444444444444,90.11111111111111,27.666666666666668,9.88888888888889,3.708957346727815
Gemma 27B,11,com_cot,70,36,1800,75.77777777777777,95.22222222222223,19.444444444444443,4.777777777777778,2.5761005195105557
Gemma 27B,11,only_token,51,36,1800,15.666666666666666,28.77777777777778,13.11111111111111,71.22222222222223,5.800491105533122
Gemma 27B,11,only_token,55,36,1800,19.5,31.38888888888889,11.88888888888889,68.61111111111111,4.927117731196678
Gemma 27B,11,only_token,60,36,1800,25.833333333333332,37.111111111111114,11.277777777777779,62.888888888888886,3.4522701253346413
Gemma 27B,11,only_token,65,36,1800,40.388888888888886,50.611111111111114,10.222222222222221,49.388888888888886,2.5926939315463082
Gemma 27B,11,only_token,70,36,1800,52.111111111111114,61.333333333333336,9.222222222222221,38.666666666666664,2.0847736338551153
