model,token,n_window,format,majority_pct,source_tag,n_scenarios,total_simulations,mean_correct_rate_percent,mean_convergence_rate_percent,mean_wrong_consensus_rate_percent,mean_no_convergence_rate_percent,mean_rounds_when_correct
Gemma 27B,ab,9,only_token,60,srv54_parallel_20260313,4,200,5.0,5.0,0.0,95.0,4.333333333333333
Gemma 27B,ab,9,only_token,65,srv54_parallel_20260313,4,200,23.0,23.0,0.0,77.0,2.7080026455026456
Gemma 27B,ab,9,only_token,70,srv54_parallel_20260313,4,200,38.0,38.0,0.0,62.0,2.302591128678085
Gemma 27B,ab,11,com_cot,51,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,7.79
Gemma 27B,ab,11,com_cot,55,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,5.78
Gemma 27B,ab,11,com_cot,60,srv54_parallel_20260313,4,200,50.0,100.0,50.0,0.0,3.96
Gemma 27B,ab,11,com_cot,65,srv54_parallel_20260313,4,200,57.5,100.0,42.5,0.0,2.71474358974359
Gemma 27B,ab,11,com_cot,70,srv54_parallel_20260313,4,200,65.0,100.0,35.0,0.0,2.2887887776541835
Gemma 27B,ab,11,only_token,51,srv54_parallel_20260313,4,200,1.5,1.5,0.0,98.5,3.0
Gemma 27B,ab,11,only_token,55,srv54_parallel_20260313,4,200,3.0,3.0,0.0,97.0,2.8333333333333335
Gemma 27B,ab,11,only_token,60,srv54_parallel_20260313,4,200,10.5,10.5,0.0,89.5,2.922222222222222
Gemma 27B,ab,11,only_token,65,srv54_parallel_20260313,4,200,34.5,34.5,0.0,65.5,2.426566339066339
Gemma 27B,ab,11,only_token,70,srv54_parallel_20260313,4,200,54.5,54.5,0.0,45.5,1.9185622026151137
Gemma 27B,kz,7,com_cot,51,srv54_parallel_20260313,4,200,0.0,0.0,0.0,100.0,
Gemma 27B,kz,7,com_cot,55,srv54_parallel_20260313,4,200,0.5,0.5,0.0,99.5,2.0
Gemma 27B,kz,7,com_cot,60,srv54_parallel_20260313,4,200,2.0,2.0,0.0,98.0,2.75
Gemma 27B,kz,7,com_cot,65,srv54_parallel_20260313,4,200,14.0,14.0,0.0,86.0,2.9736842105263155
Gemma 27B,kz,7,com_cot,70,srv54_parallel_20260313,4,200,30.0,30.0,0.0,70.0,2.670231729055258
Gemma 27B,kz,7,only_token,51,srv54_parallel_20260313,4,200,0.5,0.5,0.0,99.5,2.0
Gemma 27B,kz,7,only_token,55,srv54_parallel_20260313,4,200,1.0,1.0,0.0,99.0,2.0
Gemma 27B,kz,7,only_token,60,srv54_parallel_20260313,4,200,3.5,3.5,0.0,96.5,2.4166666666666665
Gemma 27B,kz,7,only_token,65,srv54_parallel_20260313,4,200,14.0,14.0,0.0,86.0,2.0
Gemma 27B,kz,7,only_token,70,srv54_parallel_20260313,4,200,25.0,25.0,0.0,75.0,1.8309294871794872
Gemma 27B,kz,9,com_cot,51,srv54_parallel_20260313,4,200,1.5,1.5,0.0,98.5,3.3333333333333335
Gemma 27B,kz,9,com_cot,55,srv54_parallel_20260313,4,200,2.0,2.0,0.0,98.0,2.5
Gemma 27B,kz,9,com_cot,60,srv54_parallel_20260313,4,200,8.0,8.0,0.0,92.0,3.4343434343434343
Gemma 27B,kz,9,com_cot,65,srv54_parallel_20260313,4,200,28.5,28.5,0.0,71.5,2.2807247899159666
Gemma 27B,kz,9,com_cot,70,srv54_parallel_20260313,4,200,48.5,48.5,0.0,51.5,2.234879280610988
Gemma 27B,kz,9,only_token,51,srv54_parallel_20260313,4,200,3.5000000000000004,3.5000000000000004,0.0,96.5,3.0
Gemma 27B,kz,9,only_token,55,srv54_parallel_20260313,4,200,6.5,6.5,0.0,93.5,3.074074074074074
Gemma 27B,kz,9,only_token,60,srv54_parallel_20260313,4,200,13.0,13.0,0.0,87.0,2.5840659340659338
Gemma 27B,kz,9,only_token,65,srv54_parallel_20260313,4,200,28.0,28.0,0.0,72.0,2.2044117647058825
Gemma 27B,kz,9,only_token,70,srv54_parallel_20260313,4,200,40.5,40.5,0.0,59.5,2.0136664746543778
